型号,H,B,t1,t2,r,截面面积_cm2,理论重量_kg/m,外表面积_m2/m,Ix_cm4,Iy_cm4,ix_cm,iy_cm,Wx_cm3,Wy_cm3,基准规格△
H1000×300,1028,309,28,50,18,571.6,449,3.21,932000,24800,40.4,6.58,18100,1600,
H1000×380,980,375,14,26,18,327.7,257,3.40,543000,22900,40.7,8.36,11100,1220,
H1000×380,1000,380,19,36,18,452.7,355,3.45,768000,33000,41.2,8.54,15400,1740,是
H1000×380,1020,386,25,46,18,589.9,463,3.50,1020000,44200,41.5,8.66,19900,2290,
H1000×460,984,460,16,28,18,408.9,321,3.75,701000,45500,41.4,10.5,14300,1980,
H1000×460,1000,463,19,36,18,512.5,402,3.78,907000,59600,42.1,10.8,18100,2570,是
H1000×460,1040,475,31,56,18,822.5,646,3.89,1500000,100000,42.7,11.0,28900,4220,
H1050×380,1030,375,14,26,22,336.1,264,3.49,610000,22900,42.6,8.25,11900,1220,
H1050×380,1050,380,19,36,22,463.6,364,3.54,861000,33000,43.1,8.44,16400,1740,是
H1050×380,1070,386,25,46,22,603.8,474,3.60,1140000,44200,43.4,8.56,21200,2290,
H1050×460,1034,460,16,28,22,418.2,328,3.84,786000,45500,43.4,10.4,15200,1980,
H1050×460,1050,463,19,36,22,523.3,411,3.88,1020000,59600,44.0,10.7,19300,2580,是
H1050×460,1090,475,31,56,22,839.3,659,3.98,1670000,100000,44.7,10.9,30700,4220,
H1100×380,1084,377,16,28,22,379.8,298,3.61,744000,25000,44.3,8.12,13700,1330,
H1100×380,1100,380,19,36,22,473.1,371,3.64,957000,33000,45.0,8.35,17400,1740,是
H1100×380,1120,386,25,46,22,616.3,484,3.70,1260000,44200,45.2,8.47,22500,2290,
H1100×460,1084,460,16,28,22,426.2,335,3.94,874000,45500,45.3,10.3,16100,1980,
H1100×460,1100,463,19,36,22,532.8,418,3.98,1130000,59600,46.0,10.6,20500,2580,是
H1100×460,1140,475,31,56,22,854.8,671,4.08,1860000,100000,46.6,10.8,32600,4220,
H1200×400,1186,399,19,29,22,449.9,353,3.89,1010000,30800,47.5,8.27,17100,1540,
H1200×400,1200,400,20,36,22,517.8,406,3.92,1230000,38500,48.7,8.62,20500,1920,是
H1200×400,1208,402,22,40,22,573.9,451,3.94,1370000,43400,48.9,8.70,22700,2160,
H1200×400,1218,406,26,45,22,662.8,520,3.97,1580000,50400,48.8,8.72,26000,2480,
H1200×400,1228,408,28,50,22,728.0,571,3.99,1760000,56800,49.2,8.83,28700,2790,
H1200×400,1238,411,31,55,22,805.9,633,4.02,1970000,63900,49.4,8.91,31800,3110,
H1200×400,1248,416,36,60,22,909.4,714,4.05,2210000,72500,49.3,8.93,35400,3480,
H1200×450,1200,450,20,36,22,553.8,435,4.12,1350000,54800,49.4,9.94,22500,2430,是
H1200×450,1208,452,22,40,22,613.9,482,4.14,1510000,61700,49.6,10.0,25000,2730,
H1200×450,1218,456,26,45,22,707.8,556,4.17,1740000,71300,49.5,10.0,28500,3130,
H1200×450,1228,458,28,50,22,778.0,611,4.19,1940000,80300,49.9,10.2,31600,3510,
H1200×450,1238,461,31,55,22,860.9,676,4.22,2160000,90100,50.1,10.2,34900,3910,
H1200×450,1248,464,34,60,22,944.5,741,4.25,2390000,100000,50.3,10.3,38200,4320,
H1200×500,1180,500,19,26,30,482.0,378,4.27,1120000,54300,48.1,10.6,18900,2170,
H1200×500,1184,500,19,28,30,502.0,394,4.28,1190000,58400,48.6,10.8,20000,2340,
H1200×500,1192,500,19,32,30,542.0,426,4.29,1330000,66800,49.5,11.1,22300,2670,
H1200×500,1200,500,19,36,30,582.0,457,4.31,1470000,75100,50.3,11.4,24500,3000,是
H1200×500,1208,503,22,40,30,658.3,517,4.33,1660000,85000,50.2,11.4,27500,3380,
H1200×500,1218,507,26,45,30,757.3,594,4.36,1910000,97900,50.2,11.4,31300,3860,
H1200×500,1228,509,28,50,30,832.6,654,4.38,2130000,110000,50.5,11.5,34600,4330,
H1250×500,1230,500,20,26,30,503.3,395,4.37,1240000,54300,49.7,10.4,20200,2170,
H1250×500,1234,500,20,28,30,523.3,411,4.38,1320000,58400,50.2,10.6,21300,2340,
H1250×500,1238,500,20,30,30,543.3,426,4.38,1390000,62600,50.6,10.7,22500,2500,
H1250×500,1242,500,20,32,30,563.3,442,4.39,1470000,66800,51.1,10.9,23700,2670,
H1250×500,1250,500,20,36,30,603.3,474,4.41,1630000,75100,51.9,11.2,26000,3000,是
H1250×500,1258,505,25,40,30,706.2,554,4.43,1870000,86000,51.4,11.0,29700,3410,
H1250×500,1268,508,28,45,30,794.8,624,4.46,2120000,98600,51.6,11.1,33400,3880,
H1250×500,1278,510,30,50,30,871.1,684,4.48,2360000,111000,52.0,11.3,36900,4350,
H1300×400,1270,396,21,32,22,510.9,401,4.04,1290000,33200,50.3,8.06,20400,1680,
H1300×400,1280,397,22,37,22,563.3,442,4.07,1470000,38700,51.1,8.29,23000,1950,
H1300×400,1290,399,24,42,22,628.8,494,4.09,1670000,44600,51.6,8.42,25900,2240,
H1300×400,1300,400,25,47,22,681.7,535,4.11,1860000,50300,52.2,8.59,28600,2520,
H1300×400,1310,402,27,52,22,747.9,587,4.14,2060000,56500,52.5,8.69,31500,2810,
H1300×450,1268,446,18,24,25,439.0,345,4.24,1120000,35600,50.5,9.00,17700,1590,
H1300×450,1280,446,18,30,25,492.6,387,4.27,1340000,44400,52.1,9.50,20900,1990,
H1300×450,1292,448,20,36,25,571.9,449,4.29,1590000,54000,52.8,9.72,24700,2410,
H1300×450,1300,450,22,40,25,633.8,498,4.31,1780000,60900,53.0,9.80,27400,2710,是
H1300×450,1310,452,24,45,25,705.0,553,4.34,2010000,69400,53.4,9.92,30700,3070,
H1300×450,1310,454,26,45,25,731.2,574,4.34,2050000,70400,52.9,9.81,31300,3100,
H1300×450,1320,454,26,50,25,776.6,610,4.36,2240000,78200,53.8,10.0,34000,3440,
H1300×450,1320,458,30,50,25,829.4,651,4.37,2320000,80400,52.9,9.84,35200,3510,
H1300×500,1280,500,21,26,30,525.6,413,4.47,1370000,54300,51.1,10.2,21500,2170,
H1300×500,1284,500,21,28,30,545.6,428,4.47,1460000,58500,51.7,10.4,22700,2340,
H1300×500,1292,500,21,32,30,585.6,460,4.49,1620000,66800,52.6,10.7,25100,2670,
H1300×500,1300,500,21,36,30,625.6,491,4.51,1790000,75100,53.5,11.0,27600,3000,是
H1300×500,1308,500,21,40,30,665.6,522,4.52,1960000,83500,54.3,11.2,30000,3340,
H1300×500,1318,502,24,45,30,754.2,592,4.54,2230000,95100,54.4,11.2,33800,3790,
H1300×500,1328,504,26,50,30,831.0,652,4.57,2490000,107000,54.7,11.3,37500,4240,
H1350×500,1330,500,22,26,30,548.9,431,4.56,1520000,54300,52.6,9.95,22800,2170,
H1350×500,1334,500,22,28,30,568.9,447,4.57,1610000,58500,53.2,10.1,24100,2340,
H1350×500,1342,500,22,32,30,608.9,478,4.59,1790000,66800,54.2,10.5,26600,2670,
H1350×500,1350,500,22,36,30,648.9,509,4.60,1970000,75100,55.1,10.8,29200,3010,是
H1350×500,1358,500,22,40,30,688.9,541,4.62,2150000,83500,55.9,11.0,31700,3340,
H1350×500,1368,504,26,45,30,793.6,623,4.65,2470000,96200,55.8,11.0,36100,3820,
H1350×500,1378,508,30,50,30,899.1,706,4.68,2790000,110000,55.7,11.0,40500,4310,
H1400×450,1368,446,19,24,25,470.2,369,4.44,1350000,35600,53.7,8.70,19800,1600,
H1400×450,1384,446,19,32,25,541.6,425,4.47,1690000,47400,55.9,9.36,24400,2130,
H1400×450,1392,449,22,36,25,619.0,486,4.49,1930000,54400,55.9,9.38,27700,2430,
H1400×450,1400,450,23,40,25,669.0,525,4.51,2130000,60900,56.4,9.54,30400,2710,是
H1400×450,1410,452,25,45,25,742.2,583,4.54,2400000,69400,56.8,9.67,34000,3070,
H1400×450,1420,454,27,50,25,815.8,640,4.56,2670000,78200,57.2,9.79,37600,3450,
H1400×500,1384,500,23,28,30,593.2,466,4.67,1770000,58500,54.6,9.93,25600,2340,
H1400×500,1392,500,23,32,30,633.2,497,4.69,1960000,66800,55.7,10.3,28200,2670,
H1400×500,1400,500,23,36,30,673.2,528,4.70,2160000,75200,56.6,10.6,30800,3010,是
H1400×500,1408,500,23,40,30,713.2,560,4.72,2350000,83500,57.5,10.8,33400,3340,
H1400×500,1416,500,23,44,30,753.2,591,4.73,2550000,91800,58.2,11.0,36100,3670,
H1400×500,1428,504,27,50,30,870.3,683,4.77,2950000,107000,58.3,11.1,41400,4240,
H1400×500,1440,506,29,56,30,959.6,753,4.79,3310000,121000,58.8,11.2,46000,4790,
H1450×500,1434,500,24,28,30,618.4,485,4.77,1940000,58500,56.1,9.73,27100,2340,
H1450×500,1442,500,24,32,30,658.4,517,4.78,2150000,66900,57.1,10.1,29800,2670,
H1450×500,1450,500,24,36,30,698.4,548,4.80,2360000,75200,58.1,10.4,32500,3010,是
H1450×500,1458,500,24,40,30,738.4,580,4.82,2570000,83500,59.0,10.6,35300,3340,
H1450×500,1466,500,24,44,30,778.4,611,4.83,2780000,91900,59.8,10.9,38000,3670,
H1450×500,1478,504,28,50,30,897.6,705,4.86,3220000,107000,59.9,10.9,43500,4250,
H1500×500,1484,500,24,28,30,630.4,495,4.87,2110000,58500,57.8,9.64,28400,2340,
H1500×500,1492,500,24,32,30,670.4,526,4.88,2330000,66900,58.9,9.99,31200,2670,
H1500×500,1500,500,24,36,30,710.4,558,4.90,2550000,75200,59.9,10.3,34000,3010,是
H1500×500,1508,500,24,40,30,750.4,589,4.92,2780000,83500,60.8,10.6,36800,3340,
H1500×500,1516,500,24,44,30,790.4,620,4.93,3010000,91900,61.7,10.8,39600,3670,
H1500×500,1520,500,24,46,30,810.4,636,4.94,3120000,96000,62.1,10.9,41100,3840,
H1500×500,1528,504,28,50,30,911.6,716,4.96,3470000,107000,61.7,10.8,45400,4250,
H1500×500,1538,506,30,55,30,992.7,779,4.99,3830000,119000,62.1,11.0,49800,4710,
H1500×500,1548,508,32,60,30,1074,843,5.01,4190000,132000,62.5,11.1,54200,5180,
H1550×500,1534,500,25,28,30,657.2,516,4.97,2300000,58600,59.2,9.44,30000,2340,
H1550×500,1542,500,25,32,30,697.2,547,4.98,2540000,66900,60.3,9.79,32900,2680,
H1550×500,1550,500,25,36,30,737.2,579,5.00,2780000,75200,61.4,10.1,35800,3010,是
H1550×500,1558,500,25,40,30,777.2,610,5.01,3020000,83600,62.3,10.4,38800,3340,
H1550×500,1566,500,25,44,30,817.2,642,5.03,3260000,91900,63.2,10.6,41700,3680,
H1550×500,1570,500,25,46,30,837.2,657,5.04,3390000,96100,63.6,10.7,43100,3840,
H1550×500,1578,503,28,50,30,924.6,726,5.06,3730000,106000,63.5,10.7,47300,4230,
H1600×500,1592,500,26,32,30,725.0,569,5.08,2760000,66900,61.7,9.61,34700,2680,
H1600×500,1600,500,26,36,30,765.0,601,5.10,3020000,75300,62.8,9.92,37700,3010,是
H1600×500,1608,500,26,40,30,805.0,632,5.11,3280000,83600,63.8,10.2,40800,3340,
H1600×500,1616,500,26,44,30,845.0,663,5.13,3540000,91900,64.7,10.4,43800,3680,
H1600×500,1620,500,26,46,30,865.0,679,5.14,3670000,96100,65.1,10.5,45300,3840,
H1600×500,1628,501,27,50,30,921.3,723,5.15,3970000,105000,65.6,10.7,48700,4190,
H1600×500,1634,504,30,53,30,1000,785,5.17,4280000,113000,65.4,10.7,52300,4500,
H1600×500,1644,506,32,58,30,1084,851,5.20,4690000,126000,65.8,10.8,57000,4970,
H1600×500,1654,508,34,63,30,1167,916,5.22,5110000,138000,66.1,10.9,61800,5440,
H1650×500,1642,500,27,32,30,753.8,592,5.18,3010000,67000,63.1,9.43,36600,2680,
H1650×500,1650,500,27,36,30,793.8,623,5.19,3280000,75300,64.2,9.74,39700,3010,是
H1650×500,1658,500,27,40,30,833.8,655,5.21,3550000,83600,65.2,10.0,42800,3350,
H1650×500,1666,500,27,44,30,873.8,686,5.23,3830000,92000,66.2,10.3,45900,3680,
H1650×500,1670,500,27,46,30,893.8,702,5.23,3970000,96100,66.6,10.4,47500,3850,
H1650×500,1678,503,30,50,30,984.1,773,5.26,4360000,106000,66.6,10.4,52000,4230,
H1650×550,1642,550,27,32,30,785.8,617,5.38,3210000,89000,63.9,10.6,39100,3240,
H1650×550,1650,550,27,36,30,829.8,651,5.39,3510000,100000,65.0,11.0,42600,3640,是
H1650×550,1658,550,27,40,30,873.8,686,5.41,3810000,111000,66.0,11.3,46000,4040,
H1650×550,1666,550,27,44,30,917.8,720,5.43,4120000,122000,67.0,11.5,49400,4450,
H1650×550,1670,550,27,46,30,939.8,738,5.43,4270000,128000,67.4,11.7,51100,4650,
H1650×550,1678,553,30,50,30,1034,812,5.46,4690000,141000,67.4,11.7,56000,5110,
H1700×500,1692,500,28,32,30,783.6,615,5.28,3260000,67000,64.5,9.25,38600,2680,
H1700×500,1700,500,28,36,30,823.6,647,5.29,3550000,75300,65.7,9.56,41800,3010,是
H1700×500,1708,500,28,40,30,863.6,678,5.31,3840000,83700,66.7,9.84,45000,3350,
H1700×500,1716,500,28,44,30,903.6,709,5.32,4130000,92000,67.6,10.1,48200,3680,
H1700×500,1720,500,28,46,30,923.6,725,5.33,4280000,96200,68.1,10.2,49800,3850,
H1700×500,1728,502,30,50,30,998.1,784,5.35,4660000,106000,68.4,10.3,54000,4220,
H1700×550,1692,550,28,32,30,815.6,640,5.48,3480000,89100,65.3,10.5,41200,3240,
H1700×550,1700,550,28,36,30,859.6,675,5.49,3800000,100000,66.5,10.8,44700,3640,是
H1700×550,1708,550,28,40,30,903.6,709,5.51,4120000,111000,67.5,11.1,48200,4050,
H1700×550,1716,550,28,44,30,947.6,744,5.52,4440000,122000,68.5,11.4,51800,4450,
H1700×550,1720,550,28,46,30,969.6,761,5.53,4600000,128000,68.9,11.5,53500,4650,
H1700×550,1728,552,30,50,30,1048,823,5.55,5020000,141000,69.2,11.6,58100,5090,
