型号,H,B,t1,t2,r,截面面积_cm2,理论重量_kg/m,外表面积_m2/m,Ix_cm4,Iy_cm4,ix_cm,iy_cm,Wx_cm3,Wy_cm3,基准规格△
HK250×200,235,212,16,27,10,144.3,113,1.27,13300,4290,9.60,5.46,1130,405,
HK250×200,240,226,15.5,26,18,149.4,117,1.32,14600,5010,9.89,5.79,1220,444,
HK250×200,241,214,18,30,10,161.8,127,1.28,15300,4910,9.74,5.51,1270,459,
HK250×200,247,202,7.4,11,13,62.54,49.1,1.26,7070,1510,10.6,4.92,572,150,
HK250×200,252,203,8,13.5,13,74.26,58.3,1.28,8740,1880,10.8,5.04,693,186,
HK250×200,257,204,8.9,15.7,13,85.58,67.2,1.29,10400,2220,11.0,5.10,807,218,
HK250×250,224,236.5,6.5,9,21,59.74,46.9,1.34,5760,1990,9.82,5.77,514,168,
HK250×250,230,240,7.5,12,21,76.83,60.3,1.37,7760,2770,10.1,6.00,675,231,
HK250×250,240,240,10,17,21,106.0,83.2,1.38,11300,3920,10.3,6.08,938,327,
HK250×250,246,256,10.5,10.7,14,80.05,62.8,1.47,8780,3000,10.5,6.12,714,234,
HK250×250,250,260,7.5,12.5,24,86.82,68.2,1.48,10500,3670,11.0,6.50,836,282,
HK250×250,253,254,8.6,14.2,13,92.90,72.9,1.48,11300,3880,11.0,6.46,892,306,
HK250×250,256,255,9.4,15.6,13,102.1,80.1,1.49,12600,4310,11.1,6.50,982,338,
HK250×250,260,256,10.7,17.3,13,114.1,89.6,1.50,14300,4840,11.2,6.51,1100,378,
HK250×250,260,260,10,17.5,24,118.4,92.9,1.50,14900,5130,11.2,6.58,1150,395,
HK250×250,260.3,256.3,10.3,17.3,12.7,113.3,88.9,1.50,14300,4860,11.2,6.55,1100,379,
HK250×250,264,257,11.9,19.6,13,128.9,101,1.51,16400,5550,11.3,6.56,1240,432,
HK250×250,266.7,258.8,12.8,20.5,12.7,136.4,107,1.52,17500,5930,11.3,6.59,1310,458,
HK250×250,269,259,13.5,22.1,13,146.3,115,1.52,18900,6410,11.4,6.62,1410,495,
HK250×250,270,248,18,32,21,199.6,157,1.46,24300,8150,11.0,6.39,1800,657,
HK250×250,275,261,15.4,25.1,13,167.1,131,1.54,22200,7450,11.5,6.68,1610,571,
HK300×100,303,101,5.1,5.7,8,26.93,21.1,0.986,3710,98.3,11.7,1.91,245,19.5,
HK300×100,303.5,101,5,6,8,27.24,21.4,0.987,3830,103,11.9,1.95,252,20.5,
HK300×100,305,101,5.6,6.7,8,30.41,23.9,0.989,4280,116,11.9,1.95,281,22.9,
HK300×100,307,124,8,12,9,53.09,41.7,1.08,8120,383,12.4,2.69,529,61.7,
HK300×100,309,102,6,8.9,8,36.18,28.4,1.00,5440,158,12.3,2.09,352,31.0,
HK300×100,313,102,6.6,10.8,8,41.81,32.8,1.01,6510,192,12.5,2.14,416,37.6,
HK300×150,300,150,7.1,10.7,15,53.81,42.2,1.16,8360,604,12.5,3.35,557,80.5,
HK300×150,303.4,165,6,10.2,8.9,51.32,40.3,1.24,8500,764,12.9,3.86,560,92.6,
HK300×150,306.6,165.7,6.7,11.8,8.9,58.75,46.1,1.25,9900,896,13.0,3.90,646,108,
HK300×150,310,165,5.8,9.7,8,49.41,38.8,1.25,8520,727,13.1,3.84,550,88.1,
HK300×150,310.4,166.9,7.9,13.7,8.9,68.77,54.0,1.26,11700,1060,13.0,3.93,754,127,
HK300×150,313,166,6.6,11.2,8,56.91,44.7,1.26,9930,855,13.2,3.88,635,103,
HK300×150,317,167,7.6,13.2,8,66.72,52.4,1.27,11800,1030,13.3,3.92,747,123,
HK300×150,330,160,7.5,11.5,18,62.60,49.1,1.25,11800,788,13.7,3.55,713,98.5,
HK300×200,303,203,7.5,13.1,15,75.88,59.6,1.38,12900,1830,13.0,4.91,849,180,
HK300×200,306,204,8.5,14.6,15,85.03,66.7,1.39,14500,2070,13.1,4.93,948,203,
HK300×200,310,205,9.4,16.3,15,94.84,74.4,1.40,16500,2340,13.2,4.97,1060,229,
HK300×250,282,263,17.3,28.4,13,189.8,149,1.56,25900,8620,11.7,6.74,1840,656,
HK300×250,289,265,19.2,31.8,13,213.3,167,1.58,30000,9880,11.9,6.81,2080,746,
HK300×250,290,268,18,32.5,24,219.6,172,1.57,31300,10400,11.9,6.90,2160,780,
HK300×300,270,280,8,13,24,97.26,76.3,1.60,13700,4760,11.9,7.00,1010,340,
HK300×300,280,280,10.5,18,24,131.4,103,1.62,19300,6590,12.1,7.09,1380,471,
HK300×300,290,300,8.5,14,27,112.5,88.3,1.72,18300,6310,12.7,7.49,1260,421,
HK300×300,299.3,306.4,11,11.1,15.2,100.5,78.9,1.78,16400,5330,12.8,7.28,1100,348,
HK300×300,300,300,11,19,27,149.1,117,1.73,25200,8560,13.0,7.58,1680,571,
HK300×300,301.7,307.8,12.4,12.3,15.2,112.1,88.0,1.78,18400,5980,12.8,7.31,1220,389,
HK300×300,303.7,308.7,13.3,13.3,15.2,121.0,95.0,1.79,20000,6530,12.9,7.35,1320,423,
HK300×300,307.9,310.7,15.3,15.4,15.2,140.1,110,1.80,23600,7710,13.0,7.42,1530,496,
HK300×300,307.9,305.3,9.9,15.4,15.2,123.4,96.9,1.79,22200,7310,13.4,7.69,1450,479,
HK300×300,308,305,9.9,15.4,15,123.3,96.8,1.79,22200,7290,13.4,7.69,1440,478,
HK300×300,310,288,18.5,33,24,240.2,189,1.69,39500,13200,12.8,7.40,2550,914,
HK300×300,310,300,9,15.5,27,124.4,97.7,1.76,22900,6990,13.6,7.49,1480,466,
HK300×300,311,306,10.9,17,15,136.2,107,1.80,24800,8120,13.5,7.72,1590,531,
